sk_natureza_juridica;cd_natureza_juridica;de_natureza_juridica
1;2135;EMPRESARIO INDIVIDUAL
27;3077;SERVICO SOCIAL AUTONOMO
26;3131;ENTIDADE SINDICAL
7;4120;PRODUTOR RURAL PESSOA FISICA
24;2151;CONSORCIO DE SOCIEDADES
8;3220;ORGANIZACAO RELIGIOSA
25;1201;FUNDO PUBLICO
28;1015;ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL
10;4090;CANDIDATO A CARGO POLITICO ELETIVO
9;2232;SOCIEDADE SIMPLES PURA
32;1031;ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL
4;3999;ASSOCIACAO PRIVADA
3;2046;SOCIEDADE ANONIMA ABERTA
2;2062;SOCIEDADE EMPRESARIA LIMITADA
31;1244;MUNICIPIO
29;2070;SOCIEDADE EMPRESARIA EM NOME COLETIVO
33;1104;AUTARQUIA FEDERAL
30;5029;REPRESENTACAO DIPLOMATICA ESTRANGEIRA
23;3069;FUNDACAO PRIVADA
34;1066;ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL
20;2143;COOPERATIVA
6;2240;SOCIEDADE SIMPLES LIMITADA
35;2283;CONSORCIO DE EMPREGADORES
5;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES
16;2224;CLUBE FUNDO DE INVESTIMENTO
15;3085;CONDOMINIO EDILICIO
13;2038;SOCIEDADE DE ECONOMIA MISTA
36;1120;AUTARQUIA MUNICIPAL
14;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO
17;4014;EMPRESA INDIVIDUAL IMOBILIARIA
12;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA
22;2011;EMPRESA PUBLICA
21;3263;ORGAO DE DIRECAO REGIONAL DE PARTIDO POLITICO
18;2054;SOCIEDADE ANONIMA FECHADA
37;2127;SOCIEDADE EM CONTA DE PARTICIPACAO
38;1147;FUNDACAO PUB DE DIREITO PUB EST OU DO DF
19;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
11;3034;SERVICO NOTARIAL E REGISTRAL CARTORIO
